id,name,description,level,triggerMin,triggerMax,consequences,costToFix
D1,Радиопомехи,Солнечные вспышки создают нестабильность каналов связи.,minor,8,9,−1 ОМ; блок связи на 1 ход,1
D2,Засор фильтров,Мелкая пыль и микроспоры забивают фильтры рециркуляции.,minor,10,11,−2 ОМ,2
D3,Конденсат в цепях,Из-за колебаний температуры появляется влага в электросетях.,minor,5,6,−2 ОМ,2
D4,Ошибка сенсоров,Сенсорная система теряет калибровку; показания дрейфуют.,minor,9,10,−2 ОМ; ухудшение точности навигации,2
D5,Коррозия соединений,Микрокапли воды разрушают разъёмы и соединения.,minor,3,4,−2 ОМ,2
D6,Повреждение антенны,Микрометеорит задевает антенну — связь становится нестабильной.,moderate,7,8,−3 ОМ,3
D7,Перегрев систем,Охлаждение не справляется; узлы перегреваются.,moderate,7,7,−3 ОМ,3
D8,Ошибка навигации,ПО навигации неверно рассчитывает курс.,moderate,4,4,−2 ОМ; риск столкновения,2
D9,Повреждение шлюза,Механизм уплотнения теряет герметичность.,moderate,6,8,−3 ОМ,3
D10,Утечка охлаждающей жидкости,Теплообменники перегреваются; падает эффективность систем.,moderate,11,11,−4 ОМ,3
D11,Замыкание в сети,Перегруженные линии питания вызывают короткое замыкание.,serious,2,3,−3 ОМ,2
D12,Микротрещины в обшивке,Незаметные трещины нарушают герметичность корпуса.,serious,6,6,−2 ОМ; повышает риск следующей поломки,2
D13,Утечка топлива,Разрыв магистрали приводит к потере топлива.,serious,9,9,−4 ОМ,4
D14,Отказ гидросистемы,Маневровые двигатели теряют тягу.,serious,12,12,−4 ОМ,3
D15,Ошибка перераспределения энергии,Энергия перераспределяется с перебоями; модули перегорают.,serious,9,12,−4 ОМ; может отключить улучшение,4
D16,Сбой реактора,Центральный реактор выходит из стабильности.,critical,11,11,−5 ОМ; требует немедленного устранения,4
D17,Короткое замыкание,Перегрузка вызывает мгновенное отключение систем.,critical,2,3,−3 ОМ; отключает одно улучшение,3
D18,Повреждение корпуса,Нарушена структурная целостность сегмента корпуса.,critical,5,5,−3 ОМ; +1 шанс следующей поломки,3
D19,Сбой автопилота,Бортовой ИИ начинает циклические перезапуски.,critical,8,9,−3 ОМ; ошибки курса,3
D20,Деградация батарей,Энергоблоки теряют ёмкость и напряжение.,critical,10,11,−2 ОМ; падает мощность резервных систем,2
