id,name,description,level,cost,profit,profitMin,profitMax,breakdownMin,breakdownMax,breakdownEffect,breakdownCost
U1,Антимикробное покрытие отсеков,Предотвращает рост микробов; но реагирует с химикатами.,reliable,2,5,5,7,3,4,−2 ОМ (токсичная реакция),2
U2,Фильтр воздуха v2,Модуль глубокой очистки атмосферы.,reliable,2,6,6,8,11,12,−4 ОМ (засор фильтра),2
U3,Медицинский блок,Снижает стресс экипажа; ускоряет лечение.,reliable,2,6,7,9,3,5,−2 ОМ (ошибка стерилизации),1
U4,Резервное питание,Аварийный источник питания повышает надёжность.,reliable,2,5,10,10,9,11,−2 ОМ (просадка энергии),1
U5,Комфортный отсек экипажа,Поддерживает мораль и работоспособность экипажа.,reliable,3,6,7,9,9,12,−2 ОМ (стресс; конфликты),2
U6,Система связи дальнего диапазона,Увеличивает дальность коммуникаций.,balanced,3,7,10,12,5,7,−2 ОМ (блок сигнала),2
U7,Навигационный ИИ «Путь-2»,ИИ помогает выбирать кратчайшие маршруты.,balanced,3,8,8,9,2,3,−2 ОМ (ошибка курса),2
U8,Переработка воды v2,Повышает автономность миссии.,balanced,3,7,7,8,9,10,−3 ОМ (загрязнение воды),2
U9,Биоферма,Обеспечивает продовольствием экипаж.,balanced,4,8,8,9,9,10,−2 ОМ (гниение урожая),3
U10,Квантовый передатчик,Связь через квантовое запутывание.,balanced,4,9,7,9,6,8,−3 ОМ (резонанс связи),3
U11,ИИ-помощник,Делегирует рутинные задачи экипажа.,risky,4,9,9,10,4,6,−3 ОМ (ошибки команд),3
U12,Система стабилизации курса,Удерживает ориентацию корабля.,risky,3,8,9,11,2,4,−2 ОМ (дрейф курса),3
U13,Обновление ПО реактора,Повышает КПД реактора; но чувствительно к ошибкам.,risky,3,7,11,12,2,4,−3 ОМ (сбой алгоритма),3
U14,Система анализа инцидентов,Предсказывает дефекты; но может ошибаться.,risky,4,9,5,7,2,3,−5 ОМ (ложные выводы),3
U15,Генератор импульсной тяги,Повышает скорость; но нестабилен.,risky,5,10,11,12,3,4,−3 ОМ (рывки тяги),4
U16,Расширенные солнечные панели v2,Повышают выработку энергии; но уязвимы к перегрузке.,adventurous,4,10,8,10,2,3,−3 ОМ (замыкание сектора),2
U17,Энергоэффективные щиты,Мощная защита; требующая стабильного питания.,adventurous,5,10,10,11,2,5,−5 ОМ (перегрузка поля),4
U18,Автономный ремонтный модуль,Сам устраняет мелкие сбои; но иногда ломает исправное.,adventurous,5,9,7,7,11,12,−1 ОМ (ошибка диагностики),3
U19,Регенератор топливных ячеек,Экономит топливо; но опасен при сбое.,adventurous,5,10,9,10,4,6,−4 ОМ (утечка топлива),3
U20,Система прогнозирования дефектов,Анализирует телеметрию и предсказывает отказы.,adventurous,5,10,9,11,10,12,−4 ОМ (ложные тревоги),4
